區鄉,里村,納稅單位,綜合所得總額,平均數,,中位數,,第一分位數,第三分位數,標準差,變異係數
松山區,中崙里,1435,1940933,,1353,,736,312,1598,2267.11,167.62
松山區,自強里,2953,3970431,,1345,,613,252,1485,3893.50,289.58
松山區,鵬程里,1776,1982478,,1116,,552,250,1297,1893.57,169.64
松山區,東榮里,2837,4411872,,1555,,724,292,1839,3301.89,212.32
松山區,介壽里,1457,1989194,,1365,,762,279,1574,2176.72,159.44
松山區,東勢里,1535,1958145,,1276,,641,260,1480,2173.03,170.34
松山區,東光里,2460,2841124,,1155,,596,248,1324,2122.49,183.78
松山區,中正里,3425,5369060,,1568,,842,344,1900,2415.98,154.12
松山區,復盛里,2169,1996734,,921,,543,226,1139,1167.96,126.87
松山區,復勢里,2276,2765958,,1215,,662,288,1452,1853.06,152.48
松山區,美仁里,1221,1618191,,1325,,690,293,1570,1894.29,142.93
松山區,吉仁里,1370,1690442,,1234,,651,279,1476,1740.73,141.08
松山區,精忠里,1561,2304001,,1476,,769,284,1619,4347.11,294.52
松山區,東昌里,929,1270488,,1368,,714,268,1616,2768.50,202.44
松山區,福成里,910,1377129,,1513,,746,287,1744,2610.27,172.49
松山區,中華里,2265,4016680,,1773,,801,328,1890,6632.77,374.02
松山區,吉祥里,2989,3338889,,1117,,606,268,1337,1811.77,162.19
松山區,新東里,1714,1755128,,1024,,587,248,1282,1409.01,137.60
松山區,三民里,2388,2799538,,1172,,629,253,1360,1865.07,159.09
松山區,復建里,1598,2082427,,1303,,700,290,1626,1729.50,132.72
松山區,敦化里,2388,3011561,,1261,,694,305,1587,1836.68,145.64
松山區,安平里,2910,2621917,,901,,530,230,1068,1446.57,160.55
松山區,富錦里,1770,2006256,,1133,,614,265,1354,1629.26,143.74
松山區,莊敬里,1597,1384187,,867,,555,250,1115,1164.85,134.39
松山區,新益里,1608,1543890,,960,,548,243,1207,1444.88,150.49
松山區,富泰里,1611,1863948,,1157,,658,266,1444,1915.85,165.59
松山區,龍田里,3587,5342859,,1490,,855,350,1953,2062.68,138.48
松山區,慈祐里,2473,2214050,,895,,490,207,1076,2031.60,226.92
